Competition,Team,Opponent,Venue,GF,GA,Win,Draw,Loss,Points,CleanSheet,FailedToScore
PLW,Amira Sailors Hockey Club,Strathmore University Ladies,Away,0,0,0,1,0,1,1,1
PLW,Blazers Hockey Club,Strathmore University Ladies,Away,3,1,1,0,0,3,0,0
PLW,Sliders Hockey Club,Strathmore University Ladies,Away,0,1,0,0,1,0,0,1
PLW,UON Ladies,Strathmore University Ladies,Away,2,1,1,0,0,3,0,0
PLW,USIU – A Ladies,Strathmore University Ladies,Away,0,0,0,1,0,1,1,1
PLW,Amira Sailors Hockey Club,UON Ladies,Away,1,0,1,0,0,3,1,0
PLW,Blazers Hockey Club,UON Ladies,Away,0,0,0,1,0,1,1,1
PLW,Lakers Hockey Club,UON Ladies,Away,2,1,1,0,0,3,0,0
PLW,Amira Sailors Hockey Club,USIU – A Ladies,Away,1,0,1,0,0,3,1,0
PLW,Blazers Hockey Club,USIU – A Ladies,Away,2,2,0,1,0,1,0,0
PLW,JKUAT Ladies,USIU – A Ladies,Away,0,2,0,0,1,0,0,1
PLW,UON Ladies,USIU – A Ladies,Away,1,1,0,1,0,1,0,0
PLM,Greensharks,Daikyo Heroes,Away,1,3,0,0,1,0,0,0
PLM,Kenya Police,Daikyo Heroes,Away,1,3,0,0,1,0,0,0
PLM,Wazalendo,Daikyo Heroes,Away,2,3,0,0,1,0,0,0
PLM,Kisumu Youngsters,Greensharks,Away,1,0,1,0,0,3,1,0
PLM,Parklands Sports Club,Greensharks,Away,2,0,1,0,0,3,1,0
PLM,USIU – A,Greensharks,Away,2,0,1,0,0,3,1,0
PLM,Wazalendo,Greensharks,Away,2,1,1,0,0,3,0,0
PLM,Western Jaguars,Greensharks,Away,3,0,1,0,0,3,1,0
PLM,Greensharks,Kenya Police,Away,0,1,0,0,1,0,0,1
PLM,Kisumu Youngsters,Kenya Police,Away,3,3,0,1,0,1,0,0
PLM,Sikh Union Nairobi,Kenya Police,Away,3,2,1,0,0,3,0,0
PLM,USIU – A,Kenya Police,Away,2,2,0,1,0,1,0,0
PLM,Wazalendo,Kenya Police,Away,1,2,0,0,1,0,0,0
PLM,Western Jaguars,Kenya Police,Away,0,0,0,1,0,1,1,1
PLM,Daikyo Heroes,Kisumu Youngsters,Away,1,0,1,0,0,3,1,0
PLM,Parklands Sports Club,Kisumu Youngsters,Away,2,1,1,0,0,3,0,0
PLM,Sikh Union Nairobi,Kisumu Youngsters,Away,1,1,0,1,0,1,0,0
PLM,USIU – A,Kisumu Youngsters,Away,0,2,0,0,1,0,0,1
PLM,Warriors,Kisumu Youngsters,Away,0,1,0,0,1,0,0,1
PLM,Daikyo Heroes,Parklands Sports Club,Away,3,1,1,0,0,3,0,0
PLM,Kenya Police,Parklands Sports Club,Away,2,2,0,1,0,1,0,0
PLM,Warriors,Parklands Sports Club,Away,4,1,1,0,0,3,0,0
PLM,Daikyo Heroes,Sikh Union Nairobi,Away,3,6,0,0,1,0,0,0
PLM,Greensharks,Sikh Union Nairobi,Away,0,1,0,0,1,0,0,1
PLM,Parklands Sports Club,Sikh Union Nairobi,Away,1,3,0,0,1,0,0,0
PLM,Warriors,Sikh Union Nairobi,Away,2,1,1,0,0,3,0,0
PLM,Daikyo Heroes,USIU – A,Away,0,1,0,0,1,0,0,1
PLM,Parklands Sports Club,USIU – A,Away,1,2,0,0,1,0,0,0
PLM,Sikh Union Nairobi,USIU – A,Away,3,2,1,0,0,3,0,0
PLM,Wazalendo,USIU – A,Away,1,0,1,0,0,3,1,0
PLM,Daikyo Heroes,Warriors,Away,0,4,0,0,1,0,0,1
PLM,Greensharks,Warriors,Away,2,3,0,0,1,0,0,0
PLM,Kenya Police,Warriors,Away,1,1,0,1,0,1,0,0
PLM,USIU – A,Warriors,Away,1,2,0,0,1,0,0,0
PLM,Wazalendo,Warriors,Away,3,3,0,1,0,1,0,0
PLM,Kisumu Youngsters,Wazalendo,Away,1,3,0,0,1,0,0,0
PLM,Parklands Sports Club,Wazalendo,Away,2,1,1,0,0,3,0,0
PLM,Sikh Union Nairobi,Wazalendo,Away,1,1,0,1,0,1,0,0
PLM,Western Jaguars,Wazalendo,Away,2,3,0,0,1,0,0,0
PLM,Daikyo Heroes,Western Jaguars,Away,1,3,0,0,1,0,0,0
PLM,Kisumu Youngsters,Western Jaguars,Away,1,2,0,0,1,0,0,0
PLM,Parklands Sports Club,Western Jaguars,Away,1,0,1,0,0,3,1,0
PLM,Sikh Union Nairobi,Western Jaguars,Away,1,3,0,0,1,0,0,0
PLM,USIU – A,Western Jaguars,Away,2,4,0,0,1,0,0,0
PLM,Warriors,Western Jaguars,Away,3,3,0,1,0,1,0,0
SLM,Mvita XI,GHF Blue Pirates,Away,2,0,1,0,0,3,1,0
SLM,GHF Blue Pirates,Impala,Away,1,1,0,1,0,1,0,0
SLM,Parkroad Badgers,Impala,Away,1,2,0,0,1,0,0,0
SLM,UON Men,Impala,Away,1,2,0,0,1,0,0,0
SLM,Wazalendo Masters,Impala,Away,3,3,0,1,0,1,0,0
SLM,Impala,KCA University,Away,0,4,0,0,1,0,0,1
SLM,Mvita XI,KCA University,Away,2,1,1,0,0,3,0,0
SLM,Nakuru Hockey Club,KCA University,Away,2,4,0,0,1,0,0,0
SLM,Strathmore University,KCA University,Away,2,1,1,0,0,3,0,0
SLM,Impala,Mvita XI,Away,4,4,0,1,0,1,0,0
SLM,Nakuru Hockey Club,Mvita XI,Away,2,2,0,1,0,1,0,0
SLM,Wazalendo Masters,Mvita XI,Away,0,2,0,0,1,0,0,1
SLM,GHF Blue Pirates,Nakuru Hockey Club,Away,1,0,1,0,0,3,1,0
SLM,Impala,Nakuru Hockey Club,Away,2,2,0,1,0,1,0,0
SLM,Wazalendo Masters,Nakuru Hockey Club,Away,1,1,0,1,0,1,0,0
SLM,KCA University,Parkroad Badgers,Away,4,2,1,0,0,3,0,0
SLM,Nakuru Hockey Club,Parkroad Badgers,Away,1,3,0,0,1,0,0,0
SLM,Parkroad Tigers,Parkroad Badgers,Away,2,1,1,0,0,3,0,0
SLM,Strathmore University,Parkroad Badgers,Away,4,1,1,0,0,3,0,0
SLM,Wazalendo Masters,Parkroad Badgers,Away,3,1,1,0,0,3,0,0
SLM,KCA University,Parkroad Tigers,Away,7,1,1,0,0,3,0,0
SLM,Nakuru Hockey Club,Parkroad Tigers,Away,0,1,0,0,1,0,0,1
SLM,Strathmore University,Parkroad Tigers,Away,4,0,1,0,0,3,1,0
SLM,Wazalendo Masters,Parkroad Tigers,Away,2,3,0,0,1,0,0,0
SLM,Impala,Strathmore University,Away,3,3,0,1,0,1,0,0
SLM,UON Men,Strathmore University,Away,1,1,0,1,0,1,0,0
SLM,Wazalendo Masters,Strathmore University,Away,0,2,0,0,1,0,0,1
SLM,KCA University,UON Men,Away,1,0,1,0,0,3,1,0
SLM,Parkroad Badgers,UON Men,Away,4,1,1,0,0,3,0,0
SLM,Parkroad Tigers,UON Men,Away,2,3,0,0,1,0,0,0
SLM,GHF Blue Pirates,Wazalendo Masters,Away,2,0,1,0,0,3,1,0
SLM,KCA University,Wazalendo Masters,Away,3,0,1,0,0,3,1,0
SLM,UON Men,Wazalendo Masters,Away,1,0,1,0,0,3,1,0
SLW,Twinkle Hockey Club,Black Tigresses,Away,6,0,1,0,0,3,1,0
SLW,GHF Rift Pirates Ladies,Daystar University Ladies,Away,2,0,1,0,0,3,1,0
SLW,Gorillas Hockey Club – Ladies,Daystar University Ladies,Away,1,3,0,0,1,0,0,0
SLW,Lakers Hockey Club – B,Daystar University Ladies,Away,1,0,1,0,0,3,1,0
SLW,Wazalendo Pearls,Daystar University Ladies,Away,3,0,1,0,0,3,1,0
SLW,Lakers Hockey Club – B,GHF Rift Pirates Ladies,Away,1,2,0,0,1,0,0,0
SLW,Mombasa Sports Club Ladies,GHF Rift Pirates Ladies,Away,1,2,0,0,1,0,0,0
SLW,Twinkle Hockey Club,GHF Rift Pirates Ladies,Away,1,0,1,0,0,3,1,0
SLW,Gorillas Hockey Club – Ladies,Lakers Hockey Club – B,Away,0,1,0,0,1,0,0,1
SLW,Mombasa Sports Club Ladies,Lakers Hockey Club – B,Away,0,0,0,1,0,1,1,1
SLW,Twinkle Hockey Club,Lakers Hockey Club – B,Away,3,3,0,1,0,1,0,0
SLW,Wazalendo Pearls,Mombasa Sports Club Ladies,Away,2,1,1,0,0,3,0,0
SLW,GHF Rift Pirates Ladies,Swans Hockey Club,Away,1,2,0,0,1,0,0,0
SLW,Lakers Hockey Club – B,Swans Hockey Club,Away,1,0,1,0,0,3,1,0
SLW,Mombasa Sports Club Ladies,Swans Hockey Club,Away,1,1,0,1,0,1,0,0
SLW,Wazalendo Pearls,Swans Hockey Club,Away,1,1,0,1,0,1,0,0
SLW,Daystar University Ladies,Twinkle Hockey Club,Away,0,2,0,0,1,0,0,1
SLW,GHF Rift Pirates Ladies,Wazalendo Pearls,Away,1,2,0,0,1,0,0,0
SLW,Gorillas Hockey Club – Ladies,Wazalendo Pearls,Away,1,2,0,0,1,0,0,0
SLW,Twinkle Hockey Club,Wazalendo Pearls,Away,1,0,1,0,0,3,1,0
NLM-EZ,Daystar University Men,Black Tigers,Away,1,4,0,0,1,0,0,0
NLM-EZ,Gorillas,Black Tigers,Away,1,0,1,0,0,3,1,0
NLM-EZ,Parklands Sports Club – Legacy,Black Tigers,Away,1,2,0,0,1,0,0,0
NLM-EZ,UoN Cubs,Black Tigers,Away,0,1,0,0,1,0,0,1
NLM-EZ,Gorillas,Daystar University Men,Away,3,2,1,0,0,3,0,0
NLM-EZ,Parklands Sports Club – Legacy,Daystar University Men,Away,1,0,1,0,0,3,1,0
NLM-EZ,Ulinzi Patriots,Daystar University Men,Away,2,1,1,0,0,3,0,0
NLM-EZ,Mombasa Sports Club,Gorillas,Away,1,1,0,1,0,1,0,0
NLM-EZ,Mombasa West,Gorillas,Away,2,1,1,0,0,3,0,0
NLM-EZ,Parklands Sports Club – Legacy,Gorillas,Away,1,1,0,1,0,1,0,0
NLM-EZ,Snippers Hockey Club (Makueni),Gorillas,Away,0,1,0,0,1,0,0,1
NLM-EZ,Ulinzi Patriots,Gorillas,Away,2,0,1,0,0,3,1,0
NLM-EZ,Black Tigers,Mombasa Sports Club,Away,1,1,0,1,0,1,0,0
NLM-EZ,Parklands Sports Club – Legacy,Mombasa Sports Club,Away,1,1,0,1,0,1,0,0
NLM-EZ,Black Tigers,Mombasa West,Away,1,3,0,0,1,0,0,0
NLM-EZ,Mombasa Sports Club,Mombasa West,Away,2,1,1,0,0,3,0,0
